product_number,family_id,product_title,size
"2299549","fam_f8802d6ec086","Milli Mood Edit Heated Towel Rail 500 x 800mm Brushed Nickel","500 x 800mm"
"2299541","fam_f8802d6ec086","Milli Mood Edit Heated Towel Rail 500 x 800mm Chrome","500 x 800mm"
"2299545","fam_f8802d6ec086","Milli Mood Edit Heated Towel Rail 500 x 800mm Matte Black","500 x 800mm"
"2299553","fam_f8802d6ec086","Milli Mood Edit Heated Towel Rail 500 x 800mm Brushed Gunmetal","500 x 800mm"
"2299639","fam_f8802d6ec086","Milli Mood Edit Heated Towel Rail 800 x 1100mm Brushed Gold","800 x 1100mm"
"2299552","fam_f8802d6ec086","Milli Mood Edit Heated Towel Rail 800 x 1100mm Brushed Nickel","800 x 1100mm"
"2299544","fam_f8802d6ec086","Milli Mood Edit Heated Towel Rail 800 x 1100mm Chrome","800 x 1100mm"
"2299548","fam_f8802d6ec086","Milli Mood Edit Heated Towel Rail 800 x 1100mm Matte Black","800 x 1100mm"
"2299556","fam_f8802d6ec086","Milli Mood Edit Heated Towel Rail 800 x 1100mm Brushed Gunmetal","800 x 1100mm"
"2299637","fam_f8802d6ec086","Milli Mood Edit Heated Towel Rail 800 x 800mm Brushed Gold","800 x 800mm"
"2299550","fam_f8802d6ec086","Milli Mood Edit Heated Towel Rail 800 x 800mm Brushed Nickel","800 x 800mm"
"2299542","fam_f8802d6ec086","Milli Mood Edit Heated Towel Rail 800 x 800mm Chrome","800 x 800mm"
"2299546","fam_f8802d6ec086","Milli Mood Edit Heated Towel Rail 800 x 800mm Matte Black","800 x 800mm"
"2299554","fam_f8802d6ec086","Milli Mood Edit Heated Towel Rail 800 x 800mm Brushed Gunmetal","800 x 800mm"
"119564","fam_93c748b61e39","Milli Mood Edit Swivel Heated Towel Rail 400 x 1235mm Chrome","400 x 1235mm"
"133911","fam_93c748b61e39","Milli Mood Edit Swivel Heated Towel Rail 400 x 1235mm Matte Black","400 x 1235mm"
"119562","fam_93c748b61e39","Milli Mood Edit Swivel Heated Towel Rail 400 x 635mm Chrome","400 x 635mm"
"133909","fam_93c748b61e39","Milli Mood Edit Swivel Heated Towel Rail 400 x 635mm Matte Black","400 x 635mm"
"119563","fam_93c748b61e39","Milli Mood Edit Swivel Heated Towel Rail 400 x 945mm Chrome","400 x 945mm"
"133910","fam_93c748b61e39","Milli Mood Edit Swivel Heated Towel Rail 400 x 945mm Matte Black","400 x 945mm"
"119569","fam_5cdedffd9e95","Milli Mood Edit Swivel Non Heated Towel Rail 400 x 1235mm Chrome","400 x 1235mm"
"119566","fam_5cdedffd9e95","Milli Mood Edit Swivel Non Heated Towel Rail 400 x 635mm Chrome","400 x 635mm"
"119568","fam_5cdedffd9e95","Milli Mood Edit Swivel Non Heated Towel Rail 400 x 945mm Chrome","400 x 945mm"
"2299129","fam_586d3bc057bf","Milli Mood Edit Vertical Single Heated Towel Rail 900 x 38mm Brushed Nickel","900 x 38mm"
"2299127","fam_586d3bc057bf","Milli Mood Edit Vertical Single Heated Towel Rail 900 x 38mm Chrome","900 x 38mm"
"2299135","fam_586d3bc057bf","Milli Mood Edit Vertical Single Heated Towel Rail 900 x 38mm Matte Black","900 x 38mm"
"2020374","fam_b3099bb903fb","Milli Mood Edit Vertical Single Heated Towel Rail 900 x 38mm PVD Brushed Gunmetal","900 x 38mm"
"2020377","fam_b3099bb903fb","Milli Mood Edit Vertical Single Heated Towel Rail 900 x 38mm PVD Brushed Bronze","900 x 38mm"
"2020371","fam_b3099bb903fb","Milli Mood Edit Vertical Single Heated Towel Rail 900 x 38mm PVD Brushed Gold","900 x 38mm"
"2299130","fam_ac5e627d8661","Milli Mood Edit Vertical Triple Heated Towel Rail 900 x 38mm Brushed Nickel","900 x 38mm"
"2299128","fam_ac5e627d8661","Milli Mood Edit Vertical Triple Heated Towel Rail 900 x 38mm Chrome","900 x 38mm"
"2299136","fam_ac5e627d8661","Milli Mood Edit Vertical Triple Heated Towel Rail 900 x 38mm Matte Black","900 x 38mm"
"2020375","fam_cb718556907d","Milli Mood Edit Vertical Triple Heated Towel Rail 900 x 38mm PVD Brushed Gunmetal","900 x 38mm"
"2020378","fam_cb718556907d","Milli Mood Edit Vertical Triple Heated Towel Rail 900 x 38mm PVD Brushed Bronze","900 x 38mm"
"2020372","fam_cb718556907d","Milli Mood Edit Vertical Triple Heated Towel Rail 900 x 38mm PVD Brushed Gold","900 x 38mm"
"9511215","fam_f92fc196e6eb","Mizu Bloc MK2 550 x 1050mm Heated Towel Rail Low Voltage 24V Matte Black","550 x 1050mm"
"9511213","fam_f92fc196e6eb","Mizu Bloc MK2 550 x 800mm Heated Towel Rail Low Voltage 24V Matte Black","550 x 800mm"
"9511219","fam_f92fc196e6eb","Mizu Bloc MK2 750 x 1050mm Heated Towel Rail Low Voltage 24V Matte Black","750 x 1050mm"
"9511217","fam_f92fc196e6eb","Mizu Bloc MK2 750 x 800mm Heated Towel Rail Low Voltage 24V Matte Black","750 x 800mm"
"9511214","fam_f92fc196e6eb","Mizu Bloc MK2 550 x 1050mm Heated Towel Rail Low Voltage 24V Polished Stainless Steel","550 x 1050mm"
"9511212","fam_f92fc196e6eb","Mizu Bloc MK2 550 x 800mm Heated Towel Rail Low Voltage 24V Polished Stainless Steel","550 x 800mm"
"9511216","fam_f92fc196e6eb","Mizu Bloc MK2 750 x 800mm Heated Towel Rail Low Voltage 24V Polished Stainless Steel","750 x 800mm"
"9511190","fam_27925145aa27","Mizu Bloc MK2 550 x 1050mm Heated Towel Rail Only (Less Transformer) Matte Black","550 x 1050mm"
